step,Cor_view_jk_10_emb
49,1.0
99,1.0
149,1.0
199,1.0
249,1.0
299,1.0
349,1.0
399,1.0
449,1.0
499,1.0
549,1.0
599,1.0
649,1.0
699,1.0
749,1.0
799,1.0
849,1.0
899,1.0
949,1.0
999,1.0
1049,1.0
1099,1.0
1149,0.9999998807907104
1199,1.0
1249,1.0
1299,1.0
1349,1.0
1399,1.0
1449,1.0
1499,1.0
1549,1.0
1599,1.0
1649,1.0
1699,1.0
1749,1.0
1799,1.0
1849,1.0
1899,1.0
1949,1.0
1999,1.0
2049,1.0
2099,1.0
2149,1.0
2199,1.0
2249,1.0
2299,1.0
2349,1.0
2399,1.0
2449,1.0
2499,1.0
2549,1.0
2599,1.0
2649,1.0
2699,1.0
2749,1.0
2799,1.0
2849,1.0
2899,1.0
2949,1.0
2999,1.0
3049,1.0
3099,1.0
3149,1.0
3199,1.0
3249,1.0
3299,1.0
3349,1.0
3399,1.0
3449,1.0
3499,1.0
3549,1.0
3599,1.0
3649,1.0
3699,1.0
3749,1.0
3799,1.0
3849,1.0
3899,1.0
3949,1.0
3999,1.0
4049,1.0
4099,1.0
4149,1.0
4199,1.0
4249,1.0
4299,1.0
4349,1.0
4399,1.0
4449,1.0
4499,1.0
4549,1.0
4599,1.0
4649,1.0
4699,1.0
4749,1.0
4799,1.0
4849,1.0
4899,1.0
4949,1.0
4999,1.0
5049,1.0
5099,1.0
5149,1.0
5199,1.0
5249,1.0
5299,1.0
5349,1.0
5399,1.0
5449,1.0
5499,1.0
5549,1.0
5599,1.0
5649,1.0
5699,1.0
5749,1.0
5799,1.0
5849,1.0
5899,1.0
5949,1.0
5999,1.0
6049,1.0
6099,1.0
6149,1.0
6199,1.0
6249,1.0
6299,1.0
6349,1.0
6399,1.0
6449,1.0
6499,1.0
6549,1.0
6599,1.0
6649,1.0
6699,1.0
6749,1.0
6799,1.0
6849,1.0
6899,1.0
6949,1.0
6999,1.0
7049,1.0
7099,1.0
7149,1.0
7199,1.0
7249,1.0
7299,1.0
7349,1.0
7399,1.0
7449,1.0
7499,1.0
7549,1.0
7599,1.0
7649,1.0
7699,1.0
7749,1.0
7799,1.0
7849,1.0
7899,1.0
7949,1.0
7999,1.0
8049,1.0
8099,1.0
8149,1.0
8199,1.0
8249,1.0
8299,1.0
8349,1.0
8399,1.0
8449,1.0
8499,1.0
8549,1.0
8599,1.0
8649,1.0
8699,1.0
8749,1.0
8799,1.0
8849,1.0
8899,1.0
8949,1.0
8999,1.0
9049,1.0
9099,1.0
9149,1.0
9199,1.0
9249,1.0
9299,1.0
9349,1.0
9399,1.0
9449,1.0
9499,1.0
9549,1.0
9599,1.0
9649,1.0
9699,1.0
9749,0.9999998807907104
